Tuesdays With Morrie,Mitch Albom,Memoir,210,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408245348i/546384._UY200_.jpg,4.07
The Handmaid''s Tale,Margaret Atwood,Dystopian Science Fiction,331,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295227157i/974154._UY200_.jpg,4.07
Murder on the Orient Express,Agatha Christie,Mystery,274,https://images.gr-assets.com/books/1486131451l/853510.jpg,4.16
Nutshell,Ian McEwan,Thriller,208,https://images.gr-assets.com/books/1468511375l/29929898.jpg,3.71
The Horse and His Boy,C.S.Lewis,Children's Fantasy,224,https://images.gr-assets.com/books/1362934706l/7806746.jpg,3.90
The Prince of Mist,Carlos Ruiz Safon,Young Adult Fantasy,218,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328093149i/9790778._UY200_.jpg,3.66
Alice in Wonderland,Lewis Caroll,Fantasy,92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389443668i/2647293._UY200_.jpg,4.03
Life of Pi,Yann Martel,Fantasy,460,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422578389i/170453._UY200_.jpg,3.88
Never Let Me Go,Kazuo Ishiguro,Dystopian Science Fiction,288,https://images.gr-assets.com/books/1353048590l/6334.jpg,3.80
